iter,array_size,time
0,2500,2.809046
0,5000,11.204353
0,7500,25.193969
0,10000,44.825630
0,12500,70.100904
0,15000,100.998535
0,17500,137.505499
0,20000,179.637654
0,22500,227.387319
0,25000,280.747828
1,2500,2.804008
1,5000,11.199630
1,7500,25.188141
1,10000,44.814711
1,12500,70.095233
1,15000,100.992533
1,17500,137.496364
1,20000,179.634912
1,22500,227.364139
1,25000,280.771093
2,2500,2.808033
2,5000,11.202646
2,7500,25.193467
2,10000,44.824672
2,12500,70.086700
2,15000,100.983443
2,17500,137.525548
2,20000,179.627741
2,22500,227.361106
2,25000,280.824984
3,2500,2.808137
3,5000,11.208513
3,7500,25.196495
3,10000,44.821856
3,12500,70.091373
3,15000,100.986244
3,17500,137.489100
3,20000,179.656377
3,22500,227.385867
3,25000,280.775996
4,2500,2.808444
4,5000,11.199683
4,7500,25.192472
4,10000,44.816050
4,12500,70.120208
4,15000,100.997718
4,17500,137.520467
4,20000,179.650855
4,22500,227.381198
4,25000,280.701946
