iter,size,time
0,1000000,0.280886
0,2000000,0.518229
0,3000000,0.778693
0,4000000,1.056465
0,5000000,1.344811
0,6000000,1.648758
0,7000000,1.903757
0,8000000,2.244769
0,9000000,2.510508
0,10000000,2.811122
1,1000000,0.278298
1,2000000,0.518032
1,3000000,0.777459
1,4000000,1.050326
1,5000000,1.344375
1,6000000,1.635043
1,7000000,1.952767
1,8000000,2.199765
1,9000000,2.494072
1,10000000,2.770620
2,1000000,0.277377
2,2000000,0.523892
2,3000000,0.801665
2,4000000,1.055240
2,5000000,1.369414
2,6000000,1.639131
2,7000000,1.922668
2,8000000,2.218318
2,9000000,2.524017
2,10000000,2.807964
3,1000000,0.274495
3,2000000,0.525232
3,3000000,0.793249
3,4000000,1.061732
3,5000000,1.351084
3,6000000,1.647293
3,7000000,1.954960
3,8000000,2.271977
3,9000000,2.527448
3,10000000,2.827034
4,1000000,0.279954
4,2000000,0.521601
4,3000000,0.784629
4,4000000,1.061165
4,5000000,1.351988
4,6000000,1.634624
4,7000000,1.930285
4,8000000,2.250592
4,9000000,2.524602
4,10000000,2.820696
