iter,size,time
0,1000000,11.389385
0,2000000,23.271031
0,3000000,35.440489
0,4000000,47.838461
0,5000000,59.734297
0,6000000,71.591217
0,7000000,80.522240
0,8000000,83.627265
0,9000000,89.242865
0,10000000,93.341969
1,1000000,17.638758
1,2000000,24.049619
1,3000000,35.946598
1,4000000,48.487867
1,5000000,60.501858
1,6000000,84.823988
1,7000000,81.791675
1,8000000,83.919422
1,9000000,89.289498
1,10000000,93.076372
2,1000000,58.830502
2,2000000,38.277151
2,3000000,35.237495
2,4000000,48.979372
2,5000000,58.580014
2,6000000,73.596580
2,7000000,80.793341
2,8000000,84.938991
2,9000000,88.654343
2,10000000,92.627813
3,1000000,38.478055
3,2000000,23.629934
3,3000000,35.925331
3,4000000,47.321634
3,5000000,60.515915
3,6000000,73.531050
3,7000000,82.540936
3,8000000,86.523412
3,9000000,89.665993
3,10000000,94.256982
4,1000000,11.695848
4,2000000,23.094825
4,3000000,35.892794
4,4000000,48.058537
4,5000000,61.478278
4,6000000,73.471974
4,7000000,81.814549
4,8000000,84.822568
4,9000000,90.936923
4,10000000,93.600827
